"academic use only"

"corpus","preloaded/ententen20_tt31_1"
"subcorpus","-"
"concordance size","8049"
"query","Query:[tag=""N.*""& tag!=""NNSZ"" & tag!=""NNZ""& tag!=""NPZ""& tag!=""NPSZ""] [tag= ""VVN"" & lemma =""stain""][tag=""RB""]? [tag=""IN""] within < s/>;Shuffle:"
"Reference","Left","KWIC","Right"
"old-merseytimes.co.uk","dirty-looking fellows. </s><s> ""This man"" said the bridewell keeper, laying his hand on the shoulder of a brawny fellow in a","blouse stained with","blood upon the arms, and had the appearance of a brewer''s drayman, ""was brought in for being drunk and assaulting an"
"michaelmazzei.net",", separate his and her vanities in the master with a tile accent wall around the tub and large shower, 3-1/2"" White Oak","floors stained in","a light gray on the entire 1st floor and 2nd floor hallway. </s><s> Family room with coffered ceiling, fireplace with custom"
"eclectica.org","their ripples in slow streaks. </s><s> The snakes </s><s> are ribbons splayed in the pages of my oId cookbook. </s><s> Its spine is cracked, its","pages stained with","butter. </s><s> I love to caress the scales of snakes. </s><s> They feel like expensive leather. </s><s> Almost as good as paying </s><s> my whole"
"happybeagle.com","the plant, which looked suitably Gothic and theatrical -- big brick archways with a river of muck flowing through, the","walls stained with","the effluvia of years. </s><s> To get to this section, we had to go through an airtight door; there were signs on the door warning"
"raintreecounty.com","the homage of her worshippers, including Cash Carney, who is described as ""the high priest of the temple in ceremonial","robes stained with","tobacco juice."" </s><s> As a woman endowed with ""regal beauty"" and more than a touch of divinity, Laura takes her place"
"thecasavants.com","Photos </s><s> * - Geas (Involuntary, to offset 1 Magic lost due to cyberware): cord necklace w/ wooden ziggurat (flat)","medallion stained with","the blood of a fallen enemy </s><s> Contact: ""Q"", Astral Entity </s><s> Quetzalcoatl, or ""Q"", is the Loco''s imaginary friend from his"
"osv.org","of the disciples of Garrison; what do you mean? </s><s> How am I, for instance, under this condemnation? </s><s> How are my garments or","hands stained with","the sin of slavery? </s><s> Harriet. </s><s> You live under its laws; you are enriched by its iniquitous gains; your father, husband and"
"lrb.co.uk","T-shirts – and aren''t necessarily the toughest Dawners. </s><s> Some are unshaven, grizzly former police officers, their","teeth stained by","tobacco. </s><s> One is tasked with guarding the front door. </s><s> Another scouts the street from the office balcony. </s><s> Ordinary"
"theinfolist.com","in the Gazzeta Medica Italiani on 2 August 1873.[ </s><s> 10] Nervous system[edit] </s><s> Drawing by Camillo Golgi Camillo Golgi of a","hippocampus stained with","the silver nitrate method. </s><s> In 1871, a German anatomist Joseph von Gerlach Joseph von Gerlach postulated that the brain"
"wikipedia.org","in a range of sizes and shapes with no apparent single function; two possible handles for hafting stone tools, based on","areas stained with","dark resin; and other wooden artifacts that were broken or incomplete or whose function could not be determined. </s><s> The"
